make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity
nissan,juke,2016,premium_unleaded_(recommended),188.0,4.0,manual,front_wheel_drive,4.0,"crossover,hatchback,performance",compact,4dr_hatchback,34,28,2009
suzuki,aerio,2006,regular_unleaded,155.0,4.0,automatic,front_wheel_drive,4.0,,compact,wagon,28,22,481
mitsubishi,mirage,2014,regular_unleaded,74.0,3.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,42,34,436
nissan,rogue,2015,regular_unleaded,170.0,4.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,33,26,2009
mercedes-benz,gle-class,2017,premium_unleaded_(required),302.0,6.0,automatic,rear_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,23,18,617
ford,escape_hybrid,2011,regular_unleaded,177.0,4.0,automatic,all_wheel_drive,4.0,"crossover,hybrid",compact,4dr_suv,27,30,5657
mercedes-benz,300-class,1991,diesel,121.0,5.0,automatic,rear_wheel_drive,4.0,"diesel,luxury",midsize,sedan,30,23,617
volkswagen,tiguan,2016,premium_unleaded_(recommended),200.0,4.0,automatic,all_wheel_drive,4.0,crossover,compact,4dr_suv,26,20,873
porsche,macan,2017,premium_unleaded_(required),400.0,6.0,automated_manual,all_wheel_drive,4.0,"crossover,luxury,performance",midsize,4dr_suv,23,17,1715
chevrolet,captiva_sport,2014,flex-fuel_(unleaded/e85),180.0,4.0,automatic,front_wheel_drive,4.0,"crossover,flex_fuel",midsize,4dr_suv,28,20,1385
nissan,frontier,2016,regular_unleaded,152.0,4.0,manual,rear_wheel_drive,4.0,,compact,extended_cab_pickup,23,19,2009
chevrolet,camaro,2017,premium_unleaded_(recommended),455.0,8.0,manual,rear_wheel_drive,2.0,high-performance,midsize,coupe,25,16,1385
ford,fusion_hybrid,2017,regular_unleaded,188.0,4.0,automatic,front_wheel_drive,4.0,hybrid,midsize,sedan,41,43,5657
porsche,panamera,2015,premium_unleaded_(required),310.0,6.0,automated_manual,rear_wheel_drive,4.0,"luxury,performance",large,sedan,28,18,1715
nissan,juke,2017,premium_unleaded_(recommended),188.0,4.0,automatic,all_wheel_drive,4.0,"crossover,hatchback",compact,4dr_hatchback,30,26,2009
hyundai,accent,2014,regular_unleaded,138.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,38,27,1439
suzuki,kizashi,2011,regular_unleaded,180.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,30,23,481
nissan,370z,2016,premium_unleaded_(required),332.0,6.0,automatic,rear_wheel_drive,2.0,high-performance,compact,coupe,26,19,2009
ferrari,superamerica,2005,premium_unleaded_(required),532.0,12.0,automated_manual,rear_wheel_drive,2.0,"exotic,high-performance",compact,convertible,16,9,2774
bmw,x3,2015,premium_unleaded_(required),240.0,4.0,automatic,rear_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,28,21,3916
lexus,rx_450h,2017,premium_unleaded_(recommended),308.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury,hybrid",midsize,4dr_suv,28,31,454
maserati,coupe,2006,premium_unleaded_(required),390.0,8.0,manual,rear_wheel_drive,2.0,"exotic,luxury,high-performance",compact,coupe,17,12,238
gmc,envoy_xl,2005,regular_unleaded,275.0,6.0,automatic,four_wheel_drive,4.0,,large,4dr_suv,17,12,549
infiniti,g_coupe,2011,premium_unleaded_(recommended),330.0,6.0,manual,rear_wheel_drive,2.0,"luxury,high-performance",midsize,coupe,25,17,190
rolls-royce,ghost,2012,premium_unleaded_(required),563.0,12.0,automatic,rear_wheel_drive,4.0,"exotic,luxury,performance",large,sedan,20,13,86
scion,fr-s,2015,premium_unleaded_(required),200.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,30,22,105
chevrolet,traverse,2015,regular_unleaded,288.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,24,17,1385
volvo,850,1995,regular_unleaded,168.0,5.0,manual,front_wheel_drive,4.0,luxury,midsize,sedan,26,18,870
infiniti,qx,2012,premium_unleaded_(recommended),400.0,8.0,automatic,rear_wheel_drive,4.0,luxury,large,4dr_suv,20,14,190
volvo,xc60,2017,regular_unleaded,240.0,4.0,automatic,front_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,30,23,870
mercedes-benz,s-class,2017,premium_unleaded_(required),621.0,12.0,automatic,rear_wheel_drive,4.0,"factory_tuner,luxury,high-performance",large,sedan,22,13,617
nissan,juke,2015,premium_unleaded_(recommended),188.0,4.0,automatic,front_wheel_drive,4.0,"crossover,hatchback",compact,4dr_hatchback,32,28,2009
volvo,740,1990,regular_unleaded,153.0,4.0,manual,rear_wheel_drive,4.0,luxury,midsize,wagon,26,19,870
gmc,sierra_1500_classic,2007,regular_unleaded,310.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,17,13,549
land_rover,range_rover,2016,diesel,254.0,6.0,automatic,four_wheel_drive,4.0,"diesel,luxury",large,4dr_suv,29,22,258
suzuki,esteem,2002,regular_unleaded,122.0,4.0,automatic,front_wheel_drive,4.0,,compact,wagon,30,23,481
mercedes-benz,e-class,2017,premium_unleaded_(required),402.0,8.0,automatic,rear_wheel_drive,2.0,"luxury,high-performance",midsize,coupe,26,18,617
toyota,tundra,2015,flex-fuel_(unleaded/e85),381.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,17,13,2031
land_rover,range_rover_evoque,2017,premium_unleaded_(recommended),240.0,4.0,automatic,all_wheel_drive,2.0,"crossover,luxury",compact,2dr_suv,29,21,258
maserati,ghibli,2016,premium_unleaded_(required),404.0,6.0,automatic,all_wheel_drive,4.0,"exotic,luxury,high-performance",midsize,sedan,24,16,238
chevrolet,traverse,2016,regular_unleaded,281.0,6.0,automatic,all_wheel_drive,4.0,crossover,midsize,4dr_suv,22,15,1385
mercedes-benz,c-class,2016,premium_unleaded_(required),241.0,4.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,34,25,617
ford,fusion,2015,regular_unleaded,231.0,4.0,automatic,all_wheel_drive,4.0,,midsize,sedan,31,22,5657
pontiac,montana,2005,regular_unleaded,200.0,6.0,automatic,all_wheel_drive,4.0,,midsize,passenger_minivan,21,15,210
chrysler,300m,2002,premium_unleaded_(required),250.0,6.0,automatic,front_wheel_drive,4.0,performance,large,sedan,24,16,1013
chevrolet,malibu_maxx,2006,regular_unleaded,240.0,6.0,automatic,front_wheel_drive,4.0,"hatchback,performance",midsize,4dr_hatchback,24,16,1385
chevrolet,trailblazer_ext,2004,regular_unleaded,275.0,6.0,automatic,rear_wheel_drive,4.0,,large,4dr_suv,18,13,1385
nissan,pathfinder,2017,regular_unleaded,284.0,6.0,automatic,front_wheel_drive,4.0,crossover,large,4dr_suv,27,20,2009
buick,electra,1990,regular_unleaded,165.0,6.0,automatic,front_wheel_drive,4.0,,midsize,sedan,25,16,155
ford,f-150,2015,regular_unleaded,325.0,6.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,26,19,5657
acura,rdx,2016,premium_unleaded_(recommended),279.0,6.0,automatic,front_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,29,20,204
nissan,altima,2016,regular_unleaded,182.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,39,27,2009
chevrolet,malibu,2017,regular_unleaded,160.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,36,27,1385
subaru,brz,2016,premium_unleaded_(required),200.0,4.0,automatic,rear_wheel_drive,2.0,performance,compact,coupe,34,25,640
land_rover,range_rover_sport,2014,flex-fuel_(premium_unleaded_required/e85),510.0,8.0,automatic,four_wheel_drive,4.0,"flex_fuel,luxury,high-performance",midsize,4dr_suv,19,14,258
chevrolet,captiva_sport,2013,flex-fuel_(unleaded/e85),180.0,4.0,automatic,front_wheel_drive,4.0,"crossover,flex_fuel",midsize,4dr_suv,28,20,1385
lotus,evora_400,2017,premium_unleaded_(required),400.0,6.0,manual,rear_wheel_drive,2.0,"exotic,high-performance",compact,coupe,39,21,613
fiat,124_spider,2017,premium_unleaded_(recommended),160.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,convertible,35,26,819
ford,mustang_svt_cobra,1998,regular_unleaded,305.0,8.0,manual,rear_wheel_drive,2.0,"factory_tuner,performance",compact,coupe,24,16,5657
ford,taurus,2015,flex-fuel_(unleaded/e85),288.0,6.0,automatic,front_wheel_drive,4.0,flex_fuel,large,sedan,29,19,5657
audi,q7,2014,diesel,240.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury,diesel",large,4dr_suv,28,19,3105
ford,e-series_van,2012,flex-fuel_(unleaded/e85),225.0,8.0,automatic,rear_wheel_drive,3.0,flex_fuel,large,cargo_van,17,13,5657
chevrolet,cavalier,2005,regular_unleaded,140.0,4.0,manual,front_wheel_drive,4.0,,compact,sedan,33,23,1385
chevrolet,s-10,2003,regular_unleaded,190.0,6.0,manual,four_wheel_drive,3.0,,compact,extended_cab_pickup,17,12,1385
volkswagen,golf_gti,2015,premium_unleaded_(recommended),210.0,4.0,manual,front_wheel_drive,4.0,"hatchback,performance",compact,4dr_hatchback,34,25,873
maybach,57,2010,premium_unleaded_(required),631.0,12.0,automatic,rear_wheel_drive,4.0,"exotic,luxury,high-performance",large,sedan,16,10,67
scion,im,2016,regular_unleaded,137.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,36,27,105
chevrolet,s-10,2002,flex-fuel_(unleaded/e85),120.0,4.0,automatic,rear_wheel_drive,2.0,flex_fuel,compact,regular_cab_pickup,23,17,1385
nissan,300zx,1994,regular_unleaded,222.0,6.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,22,16,2009
hyundai,tiburon,2007,regular_unleaded,172.0,6.0,automatic,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,23,20,1439
chevrolet,cruze,2017,regular_unleaded,153.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,38,29,1385
hyundai,elantra,2015,regular_unleaded,145.0,4.0,automatic,front_wheel_drive,4.0,,compact,sedan,37,27,1439
ford,expedition,2017,regular_unleaded,365.0,6.0,automatic,rear_wheel_drive,4.0,,large,4dr_suv,20,15,5657
ford,explorer,2017,flex-fuel_(unleaded/e85),290.0,6.0,automatic,all_wheel_drive,4.0,"crossover,flex_fuel",midsize,4dr_suv,23,16,5657
audi,a3,2016,premium_unleaded_(recommended),220.0,4.0,automated_manual,all_wheel_drive,4.0,luxury,compact,sedan,33,24,3105
volvo,s60,2016,regular_unleaded,325.0,6.0,automatic,all_wheel_drive,4.0,"luxury,high-performance",midsize,sedan,27,18,870
ford,f-150,2017,flex-fuel_(unleaded/e85),385.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,21,15,5657
kia,forte,2015,regular_unleaded,201.0,4.0,manual,front_wheel_drive,2.0,performance,compact,coupe,29,22,1720
toyota,venza,2014,regular_unleaded,181.0,4.0,automatic,front_wheel_drive,4.0,crossover,midsize,wagon,26,20,2031
lamborghini,aventador,2016,premium_unleaded_(required),750.0,12.0,automated_manual,all_wheel_drive,2.0,"exotic,high-performance",midsize,coupe,18,11,1158
nissan,frontier,2016,regular_unleaded,261.0,6.0,automatic,four_wheel_drive,4.0,,compact,extended_cab_pickup,21,15,2009
chevrolet,express,2016,flex-fuel_(unleaded/e85),285.0,8.0,automatic,rear_wheel_drive,3.0,flex_fuel,midsize,passenger_van,16,11,1385
volkswagen,golf,2015,regular_unleaded,170.0,4.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,37,25,873
mercedes-benz,cla-class,2015,premium_unleaded_(required),208.0,4.0,automated_manual,all_wheel_drive,4.0,luxury,midsize,sedan,32,24,617
chevrolet,venture,2005,regular_unleaded,185.0,6.0,automatic,front_wheel_drive,4.0,,midsize,passenger_minivan,24,17,1385
acura,rdx,2016,premium_unleaded_(recommended),279.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,28,19,204
dodge,ram_150,1993,regular_unleaded,180.0,6.0,manual,rear_wheel_drive,2.0,,large,regular_cab_pickup,17,14,1851
toyota,pickup,1994,regular_unleaded,116.0,4.0,manual,rear_wheel_drive,2.0,,compact,regular_cab_pickup,25,19,2031
mercedes-benz,cl-class,2014,premium_unleaded_(required),621.0,12.0,automatic,rear_wheel_drive,2.0,"factory_tuner,luxury,high-performance",large,coupe,18,12,617
ford,f-150,2015,flex-fuel_(unleaded/e85),282.0,6.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,25,18,5657
gmc,sierra_1500,2017,flex-fuel_(unleaded/e85),285.0,6.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,22,17,549
buick,terraza,2005,regular_unleaded,200.0,6.0,automatic,front_wheel_drive,4.0,,midsize,passenger_minivan,23,16,155
dodge,stealth,1996,regular_unleaded,222.0,6.0,manual,front_wheel_drive,2.0,performance,compact,coupe,23,17,1851
mercedes-benz,c43_amg,2000,regular_unleaded,302.0,8.0,automatic,rear_wheel_drive,4.0,"factory_tuner,luxury,performance",compact,sedan,21,16,617
acura,integra,2000,regular_unleaded,170.0,4.0,manual,front_wheel_drive,2.0,"hatchback,luxury,performance",compact,2dr_hatchback,28,22,204
bentley,continental_flying_spur_speed,2013,flex-fuel_(premium_unleaded_required/e85),600.0,12.0,automatic,all_wheel_drive,4.0,"exotic,flex_fuel,factory_tuner,luxury,high-performance",large,sedan,17,10,520
chrysler,concorde,2004,regular_unleaded,200.0,6.0,automatic,front_wheel_drive,4.0,,large,sedan,27,19,1013
oldsmobile,alero,2003,regular_unleaded,140.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,30,21,26
chevrolet,malibu,2016,regular_unleaded,160.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,37,27,1385
ford,fiesta,2017,regular_unleaded,120.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,35,27,5657
dodge,stealth,1995,regular_unleaded,320.0,6.0,manual,all_wheel_drive,2.0,"factory_tuner,performance",compact,coupe,22,16,1851
honda,passport,2002,regular_unleaded,205.0,6.0,automatic,four_wheel_drive,4.0,,midsize,4dr_suv,19,15,2202
toyota,tundra,2016,regular_unleaded,310.0,8.0,automatic,rear_wheel_drive,4.0,,large,crew_cab_pickup,19,15,2031
mazda,mpv,2005,regular_unleaded,200.0,6.0,automatic,front_wheel_drive,4.0,,compact,passenger_minivan,23,16,586
toyota,celica,2004,regular_unleaded,140.0,4.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,30,23,2031
hyundai,santa_fe,2017,regular_unleaded,290.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,25,18,1439
gmc,savana_cargo,2015,flex-fuel_(unleaded/e85),285.0,8.0,automatic,rear_wheel_drive,3.0,flex_fuel,large,cargo_van,17,11,549
acura,mdx,2016,premium_unleaded_(recommended),290.0,6.0,automatic,front_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,27,19,204
volkswagen,beetle_convertible,2014,premium_unleaded_(recommended),210.0,4.0,manual,front_wheel_drive,2.0,performance,compact,convertible,31,23,873
audi,cabriolet,1996,regular_unleaded,172.0,6.0,automatic,front_wheel_drive,2.0,luxury,compact,convertible,22,17,3105
ford,five_hundred,2005,regular_unleaded,203.0,6.0,automatic,all_wheel_drive,4.0,,large,sedan,23,17,5657
volkswagen,gli,2009,premium_unleaded_(recommended),200.0,4.0,automated_manual,front_wheel_drive,4.0,performance,compact,sedan,29,22,873
porsche,panamera,2016,premium_unleaded_(required),310.0,6.0,automated_manual,rear_wheel_drive,4.0,"luxury,performance",large,sedan,28,18,1715
toyota,camry,2016,regular_unleaded,178.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,35,25,2031
audi,a3,2017,premium_unleaded_(recommended),220.0,4.0,automated_manual,all_wheel_drive,4.0,luxury,compact,sedan,35,26,3105
volkswagen,golf_gti,2017,premium_unleaded_(recommended),210.0,4.0,automated_manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,32,24,873
volkswagen,beetle_convertible,2016,regular_unleaded,170.0,4.0,automatic,front_wheel_drive,2.0,,compact,convertible,34,25,873
mazda,b-series_pickup,2000,flex-fuel_(unleaded/e85),143.0,6.0,manual,four_wheel_drive,4.0,flex_fuel,compact,extended_cab_pickup,20,15,586
mercedes-benz,300-class,1993,regular_unleaded,228.0,6.0,automatic,rear_wheel_drive,4.0,luxury,large,sedan,18,14,617
ford,f-250,1998,regular_unleaded,220.0,8.0,automatic,rear_wheel_drive,3.0,,large,extended_cab_pickup,18,13,5657
dodge,magnum,2006,regular_unleaded,340.0,8.0,automatic,all_wheel_drive,4.0,,large,wagon,22,15,1851
suzuki,sx4,2012,regular_unleaded,148.0,4.0,automatic,front_wheel_drive,4.0,,compact,sedan,32,25,481
honda,accord,2017,regular_unleaded,189.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,34,26,2202
maserati,quattroporte,2017,premium_unleaded_(required),523.0,8.0,automatic,rear_wheel_drive,4.0,"exotic,factory_tuner,luxury,high-performance",large,sedan,22,15,238
suzuki,aerio,2006,regular_unleaded,155.0,4.0,automatic,front_wheel_drive,4.0,,compact,wagon,28,22,481
ford,fiesta,2016,regular_unleaded,120.0,4.0,manual,front_wheel_drive,4.0,,compact,sedan,35,27,5657
ford,ranger,2009,regular_unleaded,143.0,4.0,manual,rear_wheel_drive,2.0,,compact,regular_cab_pickup,26,21,5657
suzuki,reno,2008,regular_unleaded,127.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,28,19,481
lincoln,mks,2016,regular_unleaded,350.0,6.0,automatic,all_wheel_drive,4.0,"luxury,performance",large,sedan,24,17,61
plymouth,breeze,1998,regular_unleaded,132.0,4.0,manual,front_wheel_drive,4.0,,midsize,sedan,33,23,535
gmc,sierra_1500,2017,flex-fuel_(unleaded/e85),285.0,6.0,automatic,rear_wheel_drive,2.0,flex_fuel,large,regular_cab_pickup,24,18,549
lexus,sc_300,2000,regular_unleaded,225.0,6.0,automatic,rear_wheel_drive,2.0,"luxury,performance",midsize,coupe,22,17,454
ford,fusion,2017,regular_unleaded,231.0,4.0,automatic,all_wheel_drive,4.0,performance,midsize,sedan,29,20,5657
dodge,ram_van,2000,regular_unleaded,175.0,6.0,automatic,rear_wheel_drive,3.0,,compact,cargo_van,16,13,1851
gmc,sierra_1500_classic,2007,regular_unleaded,285.0,8.0,automatic,rear_wheel_drive,4.0,,large,crew_cab_pickup,19,15,549
lincoln,aviator,2004,premium_unleaded_(required),302.0,8.0,automatic,all_wheel_drive,4.0,luxury,midsize,4dr_suv,16,12,61
acura,tsx_sport_wagon,2012,premium_unleaded_(recommended),201.0,4.0,automatic,front_wheel_drive,4.0,luxury,midsize,wagon,30,22,204
audi,a6,2016,diesel,240.0,6.0,automatic,all_wheel_drive,4.0,"diesel,luxury",midsize,sedan,38,25,3105
volkswagen,passat,2017,premium_unleaded_(required),280.0,6.0,automated_manual,front_wheel_drive,4.0,performance,midsize,sedan,28,20,873
volvo,s60,2015,regular_unleaded,250.0,5.0,automatic,all_wheel_drive,4.0,"luxury,performance",midsize,sedan,29,20,870
chevrolet,silverado_1500_hybrid,2013,regular_unleaded,332.0,8.0,automatic,rear_wheel_drive,4.0,hybrid,large,crew_cab_pickup,23,20,1385
cadillac,escalade_esv,2017,premium_unleaded_(recommended),420.0,8.0,automatic,four_wheel_drive,4.0,"luxury,performance",large,4dr_suv,20,15,1624
hyundai,veloster,2014,regular_unleaded,138.0,4.0,manual,front_wheel_drive,3.0,hatchback,compact,2dr_hatchback,35,26,1439
infiniti,g_sedan,2012,premium_unleaded_(recommended),328.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,27,19,190
toyota,tundra,2016,flex-fuel_(unleaded/e85),381.0,8.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,18,13,2031
plymouth,voyager,1999,flex-fuel_(unleaded/e85),158.0,6.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,passenger_minivan,22,16,535
toyota,cressida,1992,regular_unleaded,190.0,6.0,automatic,rear_wheel_drive,4.0,,midsize,sedan,22,17,2031
volkswagen,touareg,2015,premium_unleaded_(recommended),380.0,6.0,automatic,all_wheel_drive,4.0,"crossover,hybrid",midsize,4dr_suv,24,20,873
ford,transit_connect,2015,regular_unleaded,169.0,4.0,automatic,front_wheel_drive,4.0,,compact,cargo_minivan,29,21,5657
cadillac,xts,2016,regular_unleaded,304.0,6.0,automatic,front_wheel_drive,4.0,"luxury,performance",large,sedan,28,18,1624
dodge,daytona,1992,regular_unleaded,100.0,4.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,29,20,1851
gmc,sierra_1500_classic,2007,regular_unleaded,295.0,8.0,automatic,rear_wheel_drive,4.0,,large,extended_cab_pickup,19,14,549
maserati,gransport,2005,premium_unleaded_(required),395.0,8.0,automated_manual,rear_wheel_drive,2.0,"exotic,factory_tuner,luxury,high-performance",compact,coupe,16,11,238
cadillac,escalade_esv,2016,premium_unleaded_(recommended),420.0,8.0,automatic,rear_wheel_drive,4.0,luxury,large,4dr_suv,22,15,1624
porsche,911,2015,premium_unleaded_(required),520.0,6.0,automated_manual,all_wheel_drive,2.0,"luxury,high-performance",compact,convertible,24,17,1715
hyundai,elantra_coupe,2013,regular_unleaded,148.0,4.0,manual,front_wheel_drive,2.0,,compact,coupe,38,28,1439
suzuki,swift,2001,regular_unleaded,79.0,4.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,38,31,481
hyundai,genesis_coupe,2015,premium_unleaded_(recommended),348.0,6.0,automatic,rear_wheel_drive,2.0,high-performance,midsize,coupe,25,16,1439
mercedes-benz,gl-class,2014,premium_unleaded_(required),362.0,8.0,automatic,all_wheel_drive,4.0,"crossover,luxury",large,4dr_suv,19,14,617
buick,terraza,2006,regular_unleaded,196.0,6.0,automatic,all_wheel_drive,4.0,,midsize,passenger_minivan,21,15,155
ford,mustang,2017,premium_unleaded_(recommended),435.0,8.0,manual,rear_wheel_drive,2.0,performance,midsize,convertible,23,14,5657
volkswagen,jetta_gli,2014,premium_unleaded_(recommended),210.0,4.0,automated_manual,front_wheel_drive,4.0,performance,midsize,sedan,32,24,873
bmw,4_series_gran_coupe,2015,premium_unleaded_(required),240.0,4.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,34,23,3916
honda,civic,2015,regular_unleaded,110.0,4.0,automatic,front_wheel_drive,4.0,hybrid,compact,sedan,47,44,2202
porsche,968,1994,regular_unleaded,236.0,4.0,manual,rear_wheel_drive,2.0,"luxury,performance",compact,convertible,24,15,1715
chevrolet,s-10,2003,flex-fuel_(unleaded/e85),120.0,4.0,automatic,rear_wheel_drive,2.0,flex_fuel,compact,regular_cab_pickup,23,17,1385
chevrolet,s-10,2002,regular_unleaded,190.0,6.0,automatic,rear_wheel_drive,2.0,,compact,regular_cab_pickup,20,15,1385
toyota,tundra,2017,flex-fuel_(unleaded/e85),381.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,17,13,2031
fiat,500x,2017,regular_unleaded,180.0,4.0,automatic,all_wheel_drive,4.0,crossover,compact,4dr_suv,29,21,819
chevrolet,cavalier,2003,regular_unleaded,140.0,4.0,manual,front_wheel_drive,4.0,,compact,sedan,30,22,1385
infiniti,q50,2017,premium_unleaded_(required),208.0,4.0,automatic,all_wheel_drive,4.0,"luxury,performance",midsize,sedan,28,22,190
mitsubishi,mirage,2015,regular_unleaded,74.0,3.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,44,37,436
